Age,Education,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,country_Canada,country_New_Zealand,country_Other,country_Republic_of_Ireland,country_UK,country_USA,country_Australia,gender_F,gender_M,eth_Black,eth_Mixed-Black/Asian,eth_Mixed-White/Asian,eth_Mixed-White/Black,eth_Other,eth_White,eth_Asian,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA
1,6,0.735489,0.269702,0,0.609827,0.370263,0.215401,0.132468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1
2,7,0.607577,0.476348,0.835399,0.244253,0.663677,0.565343,0.825752,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,1,1,0,1,0,0,0,2,0,2,2
3,5,0.300564,0.646992,0.577652,0.685619,0.537457,0.33792,0.710933,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2,7,0.591502,0.355252,0.702175,0.456454,0.584415,0.428474,0.539559,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,2,0,0,1,2,0,2,0,0
5,6,0.317006,0.476348,0.577652,0.367654,0.560031,0.565343,0.539559,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1,8,0.506431,0.646992,0.878817,0.456454,0.537457,0.215401,0.388117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
5,8,0.560562,0.572721,0.702175,0.456454,0.387201,0.565343,0.710933,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2,0.492045,0.454133,0.501355,0.609827,0.560031,0.428474,0.465658,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,1,0,0,2,2,2,2,1,1,0,0,0,0,1,0,2,0
1,6,0.682246,0.393845,0.673143,0.635892,0.370263,0.705068,0.710933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1
4,7,0.462487,0.333217,0.501355,0.41249,0.584415,0.33792,0.388117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0
1,5,0.33689,0.432804,0.602341,0.585213,0.517797,0.215401,0.465658,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
3,8,0.413474,0.722089,0.553046,0.541542,0.761484,0.215401,0.132468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,6,0.283986,0.355252,0.6246,0.344801,0.441431,0.565343,0.619957,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,1,0,0,1,1,2,0,1,1,0,2,2,1,0,1,1,0
5,8,0.636657,0.393845,0.456995,0.497505,0.479394,0.809491,0.619957,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,7,0.560562,0.525607,0.647268,0.344801,0.560031,0.565343,0.825752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0
3,6,0.649318,0.393845,0.73099,0.456454,0.537457,0.428474,0.539559,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,2,2,2,2,1,2,1,1,1,2,1,2,0
