Age,Education,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA,country_Canada,country_New Zealand,country_Other,country_Republic of Ireland,country_UK,country_USA,country_Australia,gender_F,gender_M,eth_Black,eth_Mixed-Black/Asian,eth_Mixed-White/Asian,eth_Mixed-White/Black,eth_Other,eth_White,eth_Asian
1,6,1.49158,0.269702,0,0.609827,0.370263,0.215401,0.132468,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,7,0.62967,0.476348,0.835399,0.244253,0.663677,0.565343,0.825752,1,0,0,2,2,2,2,1,1,0,1,0,0,0,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
3,5,-1.43907,0.646992,0.577652,0.685619,0.537457,0.33792,0.710933,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2,7,0.52135,0.355252,0.702175,0.456454,0.584415,0.428474,0.539559,1,0,0,0,2,2,2,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
5,6,-1.32828,0.476348,0.577652,0.367654,0.560031,0.565343,0.539559,0.5,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,8,-0.05188,0.646992,0.878817,0.456454,0.537457,0.215401,0.388117,0.5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
5,8,0.31287,0.572721,0.702175,0.456454,0.387201,0.565343,0.710933,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
5,2,-0.14882,0.454133,0.501355,0.609827,0.560031,0.428474,0.465658,0.5,1,0,0,2,2,2,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,6,1.13281,0.393845,0.673143,0.635892,0.370263,0.705068,0.710933,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4,7,-0.34799,0.333217,0.501355,0.41249,0.584415,0.33792,0.388117,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,5,-1.1943,0.432804,0.602341,0.585213,0.517797,0.215401,0.465658,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3,8,-0.67825,0.722089,0.553046,0.541542,0.761484,0.215401,0.132468,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,6,-1.55078,0.355252,0.6246,0.344801,0.441431,0.565343,0.619957,0.5,1,0,0,1,1,2,0,1,1,0,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5,8,0.82562,0.393845,0.456995,0.497505,0.479394,0.809491,0.619957,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,7,0.31287,0.525607,0.647268,0.344801,0.560031,0.565343,0.825752,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3,6,0.91093,0.393845,0.73099,0.456454,0.537457,0.428474,0.539559,1,1,0,2,2,2,2,2,2,1,2,1,1,1,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,6,-0.92104,0.393845,0.47869,0.41249,0.318476,0.565343,0.619957,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2,8,1.98437,0.454133,0.47869,0.266061,0.405822,0.503573,0.539559,1,1,1,2,2,2,2,1,0,1,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,6,-0.34799,0.572721,0.501355,0.367654,0.688508,0.428474,0.539559,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4,6,-0.14882,0.355252,0.323599,0.41249,0.560031,0.428474,0.539559,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,5,0.13606,0.454133,0.553046,0.477648,0.460156,0.428474,0.308011,0.5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,6,-0.46725,0.824839,0.798385,0.660789,0.560031,0.629735,0.825752,1,1,0,1,2,1,2,1,0,1,0,0,1,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,6,-0.14882,0.670141,0.43569,0.41249,0.387201,0.629735,0.539559,1,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,6,2.82196,0.20651,0.392939,0.56329,0.242854,0.503573,0.388117,1,0,1,0,2,2,2,1,0,1,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,6,0.22393,0.476348,0.647268,0.585213,0.710993,0.215401,0.224398,1,1,1,1,2,2,2,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4,2,-0.24649,0.572721,0.392939,0.41249,0.560031,0.428474,0.465658,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,4,0.22393,0.500507,0.527023,0.43459,0.635594,0.33792,0.465658,1,2,0,2,2,2,2,0,0,1,1,0,2,1,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,6,1.8399,0.355252,0.372052,0.367654,0.35358,1,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,6,0.13606,0.525607,0.553046,0.41249,0.405822,0.565343,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2,6,-0.58016,0.742044,0.6246,0.518959,0.560031,0.705068,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,7,1.23461,0.765875,0.673143,0.222034,0.263158,0.629735,0.825752,1,2,0,1,2,1,2,1,1,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,7,0.91093,0.500507,0.673143,0.20002,0.423875,0.503573,0.465658,1,2,0,2,2,1,2,2,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,6,1.02119,0.412116,0.553046,0.635892,0.423875,0.629735,0.465658,1,1,1,1,2,2,2,1,2,1,0,2,1,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,7,-0.46725,0.525607,0.527023,0.585213,0.584415,0.215401,0.224398,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,7,-0.58016,0.670141,0.647268,0.635892,0.635594,0.215401,0.465658,1,1,0,1,2,1,2,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
5,7,-0.34799,0.572721,0.413998,0.367654,0.423875,0.33792,0.308011,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,4,0.82562,0.454133,0.762567,0.390173,0.35358,0.629735,0.710933,1,1,0,0,2,2,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3,5,-0.14882,0.476348,0.6246,0.56329,0.584415,0.33792,0.619957,1,1,0,1,2,1,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,7,-0.67825,0.549172,0.372052,0.585213,0.517797,0.33792,0.308011,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,2,0.91093,0.454133,0.278311,0.43459,0.460156,0.428474,0.465658,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,2,1.23461,0.432804,0.577652,0.56329,0.479394,0.33792,0.825752,0.5,1,0,1,2,1,2,1,0,1,1,0,1,0,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,4,0.22393,0.230828,0.602341,0.56329,0.300104,0.215401,0.308011,0.5,0,0,0,2,2,2,0,0,1,0,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,8,0.13606,0.549172,0.372052,0.732522,0.635594,0.33792,0.224398,1,1,1,1,2,1,2,1,0,1,0,1,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
